com.samsung.shealth.badge,6307003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
1,2024-11-22 08:00:00.000,,,1,,2024-11-22 14:51:03.880,2024-11-22 14:51:03.880,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-11-23 07:59:59.999,d7e0aa0b-12e3-478a-925d-675a85708fef,
1,2024-11-26 08:00:00.000,,,1,,2024-11-26 14:51:45.547,2024-11-26 14:51:45.547,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-11-27 07:59:59.999,975b8226-9ecf-41a7-8381-c00159c83bd1,
1,2024-11-28 08:00:00.000,,,1,,2024-11-28 16:51:26.490,2024-11-28 16:51:26.490,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-11-29 07:59:59.999,dd63ab98-2692-4998-a051-fc0b0d3af44e,
1,2024-12-10 08:00:00.000,,,1,,2024-12-10 14:42:31.067,2024-12-10 14:42:31.067,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-12-11 07:59:59.999,94e585bd-2cd4-42fd-888c-f911cb3575b6,
1,2024-12-12 08:00:00.000,,,1,,2024-12-12 14:39:04.429,2024-12-12 14:39:04.429,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-12-13 07:59:59.999,988bb875-84a0-4a16-9452-f94486e1eb27,
1,2024-12-14 08:00:00.000,,,1,,2024-12-14 16:27:28.586,2024-12-14 16:27:28.586,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-12-15 07:59:59.999,3a2dc1c2-d721-4aab-b77d-f736b101d988,
1,2024-12-18 08:00:00.000,,,1,,2024-12-18 14:45:16.639,2024-12-18 14:45:16.639,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-12-19 07:59:59.999,ccd7b29a-75d2-41c9-b0a6-3fc8158bf88a,
1,2024-12-21 08:00:00.000,,,1,,2024-12-21 16:14:03.893,2024-12-21 16:14:03.893,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-12-22 07:59:59.999,aa6b5b89-8a7e-4ab7-b646-8597afd5b0e9,
1,2024-12-22 08:00:00.000,,,1,,2024-12-22 16:08:09.556,2024-12-22 16:08:09.556,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-12-23 07:59:59.999,b9be12b3-7b68-46eb-8b4d-3e92eba7c69d,
1,2024-12-23 08:00:00.000,,,1,,2024-12-23 15:53:44.872,2024-12-23 15:53:44.872,,sleep_excellent_sleep,,,UTC-0800,,3sHRV5oxWU,com.sec.android.app.shealth,,Sleep.Goal,2024-12-24 07:59:59.999,e6c61531-d0b3-4292-84c5-58e58ff76594,
