com.samsung.shealth.stress,6307003,8
create_sh_ver,start_time,custom,binning_data,tag_id,modify_sh_ver,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2024-11-23 20:57:23.000,,,10000,62800471,2024-11-23 20:57:23.406,2024-11-23 20:57:23.406,,,97.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-11-23 20:57:23.000,0bf17bb7-4aeb-46c0-840e-99497b953d52,
62800471,2024-11-24 21:41:00.000,,,10000,62800471,2024-11-24 21:41:01.092,2024-11-24 21:41:01.092,,,5.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-11-24 21:41:00.000,350688b5-39c8-48af-8dd3-d04ee8ab1462,
62800471,2024-12-10 23:56:04.092,,,10000,62800471,2024-12-10 23:56:04.251,2024-12-10 23:56:04.251,,,99.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-10 23:56:04.092,cb334154-e6be-4ce1-a891-5e89c447e296,
62800471,2024-12-11 16:06:54.141,,,10000,62800471,2024-12-11 16:06:54.425,2024-12-11 16:06:54.425,,,23.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 16:06:54.141,9e1d5c51-930f-407f-bad0-db39ecaf0135,
62800471,2024-12-13 19:57:59.824,,,10000,62800471,2024-12-13 19:57:59.942,2024-12-13 19:57:59.942,,,0.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-13 19:57:59.824,1f9ef056-6702-44c5-9379-7fff6d5a3e77,
62800471,2024-12-18 16:00:41.707,,,10000,62800471,2024-12-18 16:00:41.909,2024-12-18 16:00:41.909,,,40.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-18 16:00:41.707,7c645512-bf70-4611-bf12-51b115fbec0c,
62800471,2024-12-29 01:27:33.465,,,10000,62800471,2024-12-29 01:27:33.598,2024-12-29 01:27:33.598,,,26.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-29 01:27:33.465,30909bb6-7fa5-45cf-af14-0f1db64db83f,
62900571,2025-01-21 15:59:47.344,,,10000,62900571,2025-01-21 15:59:47.516,2025-01-21 15:59:47.516,,,97.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2025-01-21 15:59:47.344,2c9c6bf0-9c48-4221-af46-4bcbb1d88869,
62900571,2025-01-22 16:21:00.081,,,10000,62900571,2025-01-22 16:21:00.222,2025-01-22 16:21:00.222,,,70.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2025-01-22 16:21:00.081,1395e9d2-1205-4abc-8c35-e11df2d50ee1,
62900571,2025-01-24 18:53:59.976,,,10000,62900571,2025-01-24 18:54:00.088,2025-01-24 18:54:00.088,,,21.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2025-01-24 18:53:59.976,e3ec6709-f98e-4bd5-b7c5-abeb3618dfcb,
62900571,2025-01-27 16:38:10.692,,,10000,62900571,2025-01-27 16:38:10.801,2025-01-27 16:38:10.801,,,15.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2025-01-27 16:38:10.692,32bbe2a1-b212-4119-a969-682e7d34d609,
62900571,2025-01-28 17:43:25.601,,,10000,62900571,2025-01-28 17:43:25.715,2025-01-28 17:43:25.715,,,12.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2025-01-28 17:43:25.601,9787fa15-ea2d-4996-a578-48e6b5ead179,
62900571,2025-01-29 16:37:43.612,,,10000,62900571,2025-01-29 16:37:43.773,2025-01-29 16:37:43.773,,,11.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2025-01-29 16:37:43.612,16964c75-08ec-45b1-b0ca-dea012a1843b,
62900571,2025-01-31 17:58:30.980,,,10000,62900571,2025-01-31 17:58:31.150,2025-01-31 17:58:31.150,,,0.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2025-01-31 17:58:30.980,680599cc-91f2-4cf2-876e-cd779e548dc9,
62900571,2025-02-05 16:36:29.817,,,10000,62900571,2025-02-05 16:36:30.133,2025-02-05 16:36:30.133,,,0.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2025-02-05 16:36:29.817,5ad68cc0-d465-4237-9ff4-de74fccd748c,
62900571,2025-02-06 17:59:23.955,,,10000,62900571,2025-02-06 17:59:24.128,2025-02-06 17:59:24.128,,,50.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2025-02-06 17:59:23.955,af8f26f2-14e6-4dfd-871a-cbbf1aed9176,
62900571,2025-02-06 21:27:30.352,,,10000,62900571,2025-02-06 21:27:30.568,2025-02-06 21:27:30.568,,,99.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2025-02-06 21:27:30.352,dd2b5509-a8c8-48c9-9f18-29296d2f81e0,
62900571,2025-02-11 16:47:04.363,,,10000,62900571,2025-02-11 16:47:04.487,2025-02-11 16:47:04.487,,,77.0,,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2025-02-11 16:47:04.363,5bd660e2-7a5a-4f41-bebc-5be65d4a299b,
62800471,2025-08-24 18:00:00.000,,b0e62505-3735-49da-a608-01f96e3f8a48.binning_data.json,10011,62800471,2025-08-24 19:18:01.558,2025-08-24 18:05:31.700,96.0,0.0,39.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-24 18:59:59.999,b0e62505-3735-49da-a608-01f96e3f8a48,
62800471,2025-08-24 19:00:00.000,,afe56301-4544-4cd6-9ac4-467617886cc6.binning_data.json,10011,62800471,2025-08-24 20:02:51.227,2025-08-24 19:18:01.678,98.0,14.0,54.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-24 19:59:59.999,afe56301-4544-4cd6-9ac4-467617886cc6,
62800471,2025-08-24 20:00:00.000,,88c8885c-8b7c-4a46-8144-cc31c89ab89e.binning_data.json,10011,62800471,2025-08-24 21:11:10.585,2025-08-24 20:02:51.276,53.0,43.0,48.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-24 20:59:59.999,88c8885c-8b7c-4a46-8144-cc31c89ab89e,
62800471,2025-08-24 05:00:00.000,,ceae743b-5109-44cb-a736-ff78e088cdbd.binning_data.json,10011,62800471,2025-08-24 06:04:16.107,2025-08-24 05:01:20.938,85.0,3.0,43.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-24 05:59:59.999,ceae743b-5109-44cb-a736-ff78e088cdbd,
62800471,2025-08-24 06:00:00.000,,6fbd4f85-5985-47e6-a31f-95ead72a739c.binning_data.json,10011,62800471,2025-08-24 14:27:27.468,2025-08-24 06:04:16.245,21.0,7.0,11.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-24 06:59:59.999,6fbd4f85-5985-47e6-a31f-95ead72a739c,
62800471,2025-08-25 03:00:00.000,,b9196430-01e6-4066-a3d5-ea8b403ddf23.binning_data.json,10011,62800471,2025-08-25 04:02:47.557,2025-08-25 03:03:38.912,99.0,1.0,29.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-25 03:59:59.999,b9196430-01e6-4066-a3d5-ea8b403ddf23,
62800471,2025-08-24 14:00:00.000,,2c5fd109-148c-4160-bacb-d3abad9092ba.binning_data.json,10011,62800471,2025-08-24 16:22:04.478,2025-08-24 14:27:27.691,93.0,2.0,33.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-24 14:59:59.999,2c5fd109-148c-4160-bacb-d3abad9092ba,
62800471,2025-08-24 16:00:00.000,,7cef7bc2-2486-4dc2-ba7e-4c6022e72309.binning_data.json,10011,62800471,2025-08-24 17:01:31.794,2025-08-24 16:22:04.549,100.0,13.0,57.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-24 16:59:59.999,7cef7bc2-2486-4dc2-ba7e-4c6022e72309,
62800471,2025-08-24 21:00:00.000,,c7b4cc86-6d5f-4dd7-aee2-a31a9104247f.binning_data.json,10011,62800471,2025-08-24 22:05:21.531,2025-08-24 21:11:11.048,90.0,14.0,51.0,,UTC-0700,DA11Kl5+/r,,com.sec.android.app.shealth,2025-08-24 21:59:59.999,c7b4cc86-6d5f-4dd7-aee2-a31a9104247f,
