com.samsung.health.skin_temperature,6307003,4
create_sh_ver,stat_m1,stat_m2,baseline,start_time,binning_data,stat_n,tag_id,modify_sh_ver,lower_bound,update_time,create_time,client_data_id,upper_bound,max,min,client_data_ver,temperature,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
,35.69751,1274.7598,35.785297,2024-05-11 06:58:00.000,d6a723ed-d491-4cad-9ea0-a91d7ae85d38.binning_data.json,432,31301,,34.347107,2024-05-14 10:16:12.609,2024-05-11 14:58:57.298,,37.223484,36.65429,33.909412,,35.69751,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-11 14:07:00.000,d6a723ed-d491-4cad-9ea0-a91d7ae85d38,
,35.388657,1253.0555,35.786827,2024-05-14 10:06:00.000,ce8182c1-5b0a-4261-b229-7d985eaf7b63.binning_data.json,182,31301,,34.358116,2024-05-15 15:53:18.302,2024-05-14 13:32:49.994,,37.215538,36.595684,33.53093,,35.388657,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-14 13:14:00.000,ce8182c1-5b0a-4261-b229-7d985eaf7b63,
,36.59905,1339.6431,35.78234,2024-05-15 10:18:00.000,b13f21d1-47f7-4969-be29-39ef4771fb84.binning_data.json,57,31301,,34.337204,2024-05-15 18:00:23.619,2024-05-15 12:01:41.040,,37.227478,37.037243,35.793156,,36.59905,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-15 11:25:00.000,b13f21d1-47f7-4969-be29-39ef4771fb84,
,36.508953,1333.2577,35.775566,2024-05-14 14:40:00.000,8a53ad1d-6773-42d6-8457-9aeee1f04752.binning_data.json,60,31301,,34.33469,2024-05-15 18:00:23.598,2024-05-14 16:52:13.745,,37.216442,37.367508,35.419373,,36.508953,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-14 16:30:00.000,8a53ad1d-6773-42d6-8457-9aeee1f04752,
,36.79138,1353.6895,35.789448,2024-05-15 12:21:00.000,f3c1126a-e31a-4133-bc43-4d14be88f150.binning_data.json,160,31301,,34.341187,2024-05-15 18:00:23.642,2024-05-15 15:52:43.440,,37.237705,37.396214,36.392464,,36.79138,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-15 15:20:00.000,f3c1126a-e31a-4133-bc43-4d14be88f150,
,35.838993,1284.709,35.82128,2024-05-17 10:02:00.000,a27be81a-b358-46e2-aa90-7a0063a08050.binning_data.json,240,31301,,34.352337,2024-05-18 15:47:28.021,2024-05-18 15:47:28.021,,37.290222,36.783875,34.549667,,35.838993,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-17 14:37:00.000,a27be81a-b358-46e2-aa90-7a0063a08050,
,35.574913,1265.8226,35.856373,2024-05-27 05:04:00.000,ada7e8d9-b618-4002-b55d-e1374f29c7c4.binning_data.json,169,31301,,34.39551,2024-05-27 08:36:37.627,2024-05-27 08:36:37.627,,37.31723,36.63148,34.76987,,35.574913,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-27 08:10:00.000,ada7e8d9-b618-4002-b55d-e1374f29c7c4,
,36.22496,1312.5514,35.826435,2024-05-19 06:45:00.000,ecc34e15-fd3c-4505-9815-0ef4922711f6.binning_data.json,451,31301,,34.364975,2024-05-27 08:36:39.118,2024-05-19 14:38:27.455,,37.287895,37.248856,34.896633,,36.22496,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-19 14:20:00.000,ecc34e15-fd3c-4505-9815-0ef4922711f6,
,35.945564,1292.5391,35.85552,2024-05-19 14:51:00.000,5040e403-afc9-4a2e-b3a2-293c9f7a8c97.binning_data.json,60,31301,,34.3935,2024-05-27 08:36:39.129,2024-05-19 16:46:35.568,,37.317535,36.889336,34.707558,,35.945564,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-19 16:34:00.000,5040e403-afc9-4a2e-b3a2-293c9f7a8c97,
,35.3558,1250.6665,35.841263,2024-05-27 08:35:00.000,642e2ea1-27ea-488f-a2b7-bf32d55465fe.binning_data.json,346,31301,,34.444275,2024-05-27 15:22:44.326,2024-05-27 15:22:44.326,,37.23825,37.271484,33.627808,,35.3558,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-27 15:15:00.000,642e2ea1-27ea-488f-a2b7-bf32d55465fe,
,36.21852,1311.8947,35.801365,2024-05-27 15:30:00.000,249e6948-6b74-4231-b799-6ae3e66c0810.binning_data.json,56,31301,,34.366234,2024-05-27 16:46:00.802,2024-05-27 16:46:00.802,,37.236496,36.70801,35.58641,,36.21852,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-27 16:45:00.000,249e6948-6b74-4231-b799-6ae3e66c0810,
,35.614674,1268.7335,35.806843,2024-05-28 07:56:00.000,3ef4f43d-5a3b-4d7b-a8d9-16e1bbf22d78.binning_data.json,360,31301,,34.37613,2024-05-30 15:03:05.418,2024-05-28 15:11:16.227,,37.237556,36.560535,33.994595,,35.614674,UTC-0700,b4nSrpWupN,,com.sec.android.app.shealth,2024-05-28 14:51:00.000,3ef4f43d-5a3b-4d7b-a8d9-16e1bbf22d78,
