com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2024-04-27 15:20:16.019,,2024-04-27 15:53:33.439,2024-04-27 15:53:33.439,,,1.0,5ecb0971-0d22-459b-8a05-24b56071ef60.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-27 15:52:52.000,5ecb0971-0d22-459b-8a05-24b56071ef60,
2024-04-27 19:36:40.637,,2024-04-27 20:16:19.492,2024-04-27 20:16:19.492,,,1.0,bca1ed42-aa03-45fe-a05a-3264a556e6c0.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-27 20:16:19.446,bca1ed42-aa03-45fe-a05a-3264a556e6c0,
2024-04-28 04:46:37.946,,2024-04-28 06:02:56.616,2024-04-28 06:02:56.616,,,1.0,ce85d1a9-6c30-42fb-89f9-6e0d50fa549b.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-28 05:51:08.000,ce85d1a9-6c30-42fb-89f9-6e0d50fa549b,
2024-04-28 05:51:07.999,,2024-04-28 06:02:56.695,2024-04-28 06:02:56.695,,,1.0,f28759d2-ff61-4faa-a862-88ae7093781d.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-28 05:57:36.999,f28759d2-ff61-4faa-a862-88ae7093781d,
2024-04-28 14:55:54.546,,2024-04-28 15:06:24.279,2024-04-28 15:06:24.279,,,1.0,b23d1e24-6383-4bb7-b92c-960d3dda56c9.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-28 14:59:25.999,b23d1e24-6383-4bb7-b92c-960d3dda56c9,
2024-04-28 18:15:01.335,,2024-04-28 21:53:55.766,2024-04-28 21:53:55.559,,,3.0,ad7ad1a6-627f-4d93-8fea-cbd1144f7643.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-28 20:11:23.000,ad7ad1a6-627f-4d93-8fea-cbd1144f7643,
2024-04-28 20:11:23.000,,2024-04-28 21:53:55.849,2024-04-28 21:53:55.849,,,1.0,4dd973c2-3ef0-40cf-9945-c9ff20dc8ba5.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-28 21:01:45.000,4dd973c2-3ef0-40cf-9945-c9ff20dc8ba5,
2024-04-28 22:17:02.510,,2024-04-29 00:13:44.878,2024-04-29 00:13:44.878,,,3.0,e052cb47-d152-4df3-b5bc-edad2872cdc1.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-29 00:13:44.737,e052cb47-d152-4df3-b5bc-edad2872cdc1,
2024-04-29 01:49:30.469,,2024-04-29 02:00:51.762,2024-04-29 02:00:51.762,,,1.0,a306573d-d2c3-48b5-8e6d-744659f024a3.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-29 02:00:51.677,a306573d-d2c3-48b5-8e6d-744659f024a3,
2024-04-29 02:00:51.677,,2024-04-29 02:14:49.615,2024-04-29 02:14:49.615,,,1.0,f40f00b3-5eab-4faf-a3a2-bfb56ecb2e04.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-29 02:13:01.001,f40f00b3-5eab-4faf-a3a2-bfb56ecb2e04,
2024-04-29 16:26:56.476,,2024-04-29 16:51:14.473,2024-04-29 16:51:14.473,,,1.0,6ad50e16-2a99-4a62-8285-9c188204fea4.raw_data.json,UTC-0700,b4nSrpWupN,com.sec.android.app.shealth,2024-04-29 16:47:02.999,6ad50e16-2a99-4a62-8285-9c188204fea4,
