com.samsung.health.movement,6307003,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2024-12-11 22:00:00.000,,ebae1128-baf1-4141-8dd0-7f9d09ba5ad2.binning_data.json,62800471,2024-12-11 23:00:51.050,2024-12-11 22:20:27.051,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 22:59:59.999,ebae1128-baf1-4141-8dd0-7f9d09ba5ad2,
62800471,2024-12-11 23:01:00.000,,e6fc76f5-aac0-4ba3-9747-0c824b691116.binning_data.json,62800471,2024-12-12 00:01:25.036,2024-12-11 23:21:03.059,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-11 23:59:59.999,e6fc76f5-aac0-4ba3-9747-0c824b691116,
62800471,2024-12-12 05:00:00.000,,ef9c994d-d5ce-41d3-87c2-081a45e51649.binning_data.json,62800471,2024-12-12 06:04:53.045,2024-12-12 05:04:16.414,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 05:59:59.999,ef9c994d-d5ce-41d3-87c2-081a45e51649,
62800471,2024-12-12 06:00:00.000,,5a6dd489-cdf4-4080-bd51-512d3c5f77c6.binning_data.json,62800471,2024-12-12 07:05:30.041,2024-12-12 06:04:53.053,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 06:59:59.999,5a6dd489-cdf4-4080-bd51-512d3c5f77c6,
62800471,2024-12-12 07:00:00.000,,90ebae18-9425-4f14-998d-4499a797ddd8.binning_data.json,62800471,2024-12-12 08:06:07.252,2024-12-12 07:05:30.049,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 07:59:59.999,90ebae18-9425-4f14-998d-4499a797ddd8,
62800471,2024-12-12 08:00:00.000,,7827656e-5ed9-4ce2-bcda-1b29269a5efb.binning_data.json,62800471,2024-12-12 09:06:44.043,2024-12-12 08:06:07.278,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 08:59:59.999,7827656e-5ed9-4ce2-bcda-1b29269a5efb,
62800471,2024-12-12 16:00:00.000,,3342b4d9-006a-4f9e-9e7f-7fb8d144245d.binning_data.json,62800471,2024-12-12 17:11:40.046,2024-12-12 16:11:03.045,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 16:59:59.999,3342b4d9-006a-4f9e-9e7f-7fb8d144245d,
62800471,2024-12-12 09:00:00.000,,973eaeee-f0b1-4a5d-b8ad-6c54f128c93c.binning_data.json,62800471,2024-12-12 10:07:22.056,2024-12-12 09:06:44.050,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 09:59:59.999,973eaeee-f0b1-4a5d-b8ad-6c54f128c93c,
62800471,2024-12-12 10:00:00.000,,3e42a3f2-e1c6-423b-8a85-6245508b9eb5.binning_data.json,62800471,2024-12-12 11:07:59.215,2024-12-12 10:07:22.064,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 10:59:59.999,3e42a3f2-e1c6-423b-8a85-6245508b9eb5,
62800471,2024-12-12 11:00:00.000,,28f8fd6d-f0ab-4f9a-bbb5-4d9c8b52ff6e.binning_data.json,62800471,2024-12-12 12:08:36.247,2024-12-12 11:07:59.238,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 11:59:59.999,28f8fd6d-f0ab-4f9a-bbb5-4d9c8b52ff6e,
62800471,2024-12-12 12:00:00.000,,7a003d07-f118-4f1e-acc3-578e96055fad.binning_data.json,62800471,2024-12-12 13:09:12.044,2024-12-12 12:08:36.271,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 12:59:59.999,7a003d07-f118-4f1e-acc3-578e96055fad,
62800471,2024-12-12 18:00:00.000,,b6ddced5-d68a-47a2-a803-e5b92eb5ea5e.binning_data.json,62800471,2024-12-12 19:12:55.052,2024-12-12 18:12:18.092,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 18:59:59.999,b6ddced5-d68a-47a2-a803-e5b92eb5ea5e,
62800471,2024-12-12 17:00:00.000,,a71c67e8-171f-4fa3-9d61-48a6616b7682.binning_data.json,62800471,2024-12-12 18:12:18.057,2024-12-12 17:11:40.053,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 17:59:59.999,a71c67e8-171f-4fa3-9d61-48a6616b7682,
62800471,2024-12-12 15:00:00.000,,be4b063b-61d1-434b-bc3f-7467df2976b0.binning_data.json,62800471,2024-12-12 16:11:03.038,2024-12-12 15:10:26.046,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 15:59:59.999,be4b063b-61d1-434b-bc3f-7467df2976b0,
62800471,2024-12-12 13:00:00.000,,fb8e796b-f6e9-4b55-9ae1-9736a278a904.binning_data.json,62800471,2024-12-12 14:09:49.037,2024-12-12 13:09:12.051,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 13:59:59.999,fb8e796b-f6e9-4b55-9ae1-9736a278a904,
62800471,2024-12-12 14:00:00.000,,10acdca0-0d80-490a-8f16-b3f32c6489e3.binning_data.json,62800471,2024-12-12 15:10:26.038,2024-12-12 14:09:49.046,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 14:59:59.999,10acdca0-0d80-490a-8f16-b3f32c6489e3,
62800471,2024-12-12 20:00:00.000,,4018708a-ae97-4872-9469-67fd973adcbb.binning_data.json,62800471,2024-12-12 21:14:08.041,2024-12-12 20:13:31.049,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 20:59:59.999,4018708a-ae97-4872-9469-67fd973adcbb,
62800471,2024-12-12 19:00:00.000,,ee70672d-787a-456c-b85f-a959531d234e.binning_data.json,62800471,2024-12-12 20:13:31.039,2024-12-12 19:12:55.059,UTC-0800,b4nSrpWupN,,com.sec.android.app.shealth,2024-12-12 19:59:59.999,ee70672d-787a-456c-b85f-a959531d234e,
