com.samsung.shealth.program.sleep_coaching.mission,6307003,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
62670070,null,3,62670070,2024-07-13 17:30:18.159,2024-07-13 17:30:18.159,2,5,HB_03,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,d5f0d5ee-e0d6-4f2e-8700-601829acb0a3,0,
62670070,null,11,62670070,2024-07-13 17:30:18.159,2024-07-13 17:30:18.159,2,6,HB_11,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,476898fe-8b9f-4e14-a061-42226e09ab73,0,
62670070,null,6,62670070,2024-07-13 17:30:18.159,2024-07-13 17:30:18.159,2,5,HB_06,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,df3f93eb-cf25-4daa-b2af-fc8c8d7dc543,0,
62670070,null,5,62670070,2024-07-13 17:30:18.160,2024-07-13 17:30:18.160,2,6,HB_05,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,87f93940-1c00-42d3-9fe4-e5f5e8c4af94,0,
62670070,null,5,62670070,2024-07-13 17:30:18.160,2024-07-13 17:30:18.160,2,7,HB_05,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,52716be8-545e-4a89-8a13-11e67bbd2345,0,
62670070,null,6,62670070,2024-07-13 17:30:18.160,2024-07-13 17:30:18.160,2,6,HB_06,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,4e67d6e3-bac1-4d38-97d0-fecb77f0effd,0,
62670070,null,9,62670070,2024-07-13 17:30:18.159,2024-07-13 17:30:18.159,2,4,HB_09,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,df0d91a2-33d8-46f6-843b-2972974bbcc1,0,
62670070,null,6,62670070,2024-07-13 17:30:18.160,2024-07-13 17:30:18.160,2,7,HB_06,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,b20f1677-53a7-404a-af83-1c5a568ed8d0,0,
62670070,null,3,62670070,2024-07-13 17:30:18.160,2024-07-13 17:30:18.160,2,7,HB_03,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,9d5229fd-1c1d-464c-9f28-545786704b34,0,
62670070,null,10,62670070,2024-07-13 17:30:18.159,2024-07-13 17:30:18.159,2,6,HB_10,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,1b8c3efc-5d0e-49b4-ba7b-807b73bc3e04,0,
62670070,null,6,62670070,2024-07-13 17:30:18.161,2024-07-13 17:30:18.161,2,8,HB_06,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,02b1c617-5057-40e3-ba78-82e800150eb2,0,
62670070,null,9,62670070,2024-07-13 17:30:18.161,2024-07-13 17:30:18.161,2,8,HB_09,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,6fb08f98-1d89-4728-9e34-5fa5a71980e3,0,
62670070,null,9,62670070,2024-07-13 17:30:18.159,2024-07-13 17:30:18.159,2,5,HB_09,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,0aebfe6f-71e4-4f0e-bfd9-94de1812c821,0,
62670070,null,5,62670070,2024-07-13 17:30:18.161,2024-07-13 17:30:18.161,2,8,HB_05,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,8a285b69-1d1f-41cf-a336-2c20426b69cf,0,
62670070,null,9,62670070,2024-07-13 17:30:18.160,2024-07-13 17:30:18.160,2,6,HB_09,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,d2feaf9f-0fff-4b39-8c76-2080c8872e22,0,
62670070,null,10,62670070,2024-07-13 17:30:18.161,2024-07-13 17:30:18.161,2,8,HB_10,3sHRV5oxWU,com.sec.android.app.shealth,1,be1bf15d-a712-4720-b630-d99311cacc96,fbfb6c9d-a2de-4cbe-9f89-db9092296cdb,0,
62670070,null,9,62670070,2024-07-13 17:30:18.161,2024-07-13 17:30:18.161,2,7,HB_09,3sHRV5oxWU,com.sec.android.app.shealth,0,be1bf15d-a712-4720-b630-d99311cacc96,a2533d89-4b1e-4ba1-acb2-3a11b1c222ad,0,
